,tenure,TotalCharges,OnlineSecurity,OnlineBackup,TechSupport,Contract,Churn
2567,60,5742.9,No,Yes,No,Month-to-month,Yes
3423,1,50.6,Yes,No,No,Month-to-month,Yes
2037,1,70.6,No,No,No,Month-to-month,No
772,1,19.9,No internet service,No internet service,No internet service,Month-to-month,Yes
6470,8,345.5,No,No,No,One year,No
3562,5,502.6,No,Yes,No,Month-to-month,Yes
6660,1,69.15,No,No,No,Month-to-month,Yes
6433,58,1191.4,No internet service,No internet service,No internet service,Two year,No
4649,72,7875.0,Yes,Yes,Yes,Two year,No
1674,23,611.45,No internet service,No internet service,No internet service,Two year,No
365,5,492.55,No,No,No,Month-to-month,Yes
4919,70,2692.75,Yes,No,Yes,Two year,No
4546,12,916.9,No,Yes,No,Month-to-month,Yes
4327,7,497.3,No,No,No,Month-to-month,No
147,1,45.65,No,No,No,Month-to-month,Yes
6183,44,2317.1,No,No,Yes,One year,No
3088,46,3846.35,Yes,No,Yes,Two year,No
5551,20,356.15,No internet service,No internet service,No internet service,Month-to-month,No
407,32,2861.45,No,Yes,No,Month-to-month,No
6499,1,20.3,No internet service,No internet service,No internet service,Month-to-month,No
3456,67,5714.2,Yes,No,Yes,Two year,No
4182,29,2862.75,No,No,Yes,Month-to-month,Yes
3576,72,1623.15,No internet service,No internet service,No internet service,One year,No
3271,12,1218.55,No,Yes,No,Month-to-month,Yes
1031,27,1957.1,No,No,Yes,Month-to-month,No
4600,56,6567.9,Yes,Yes,Yes,Two year,No
855,62,6413.65,No,No,No,One year,Yes
3926,11,383.55,No,Yes,No,Month-to-month,No
78,30,2111.3,Yes,Yes,No,Month-to-month,No
2247,40,830.25,No internet service,No internet service,No internet service,Two year,No
5204,38,955.75,No,No,No,Month-to-month,No
6653,28,790.7,No,No,No,Month-to-month,No
6473,1,94.4,No,No,No,Month-to-month,Yes
4829,12,524.35,No,No,No,Month-to-month,No
788,24,1832.4,Yes,Yes,No,One year,No
2279,72,1789.9,No internet service,No internet service,No internet service,Two year,No
4095,3,214.4,Yes,No,Yes,Month-to-month,No
3897,72,8425.15,Yes,Yes,Yes,Two year,No
4575,4,101.9,No internet service,No internet service,No internet service,Month-to-month,No
5846,3,257.6,No,No,No,Month-to-month,No
3631,1,49.55,Yes,No,No,Month-to-month,Yes
6176,43,3365.85,No,Yes,No,Month-to-month,Yes
424,10,449.3,Yes,Yes,No,Month-to-month,No
392,2,89.3,No,No,No,Month-to-month,No
6925,15,294.95,No internet service,No internet service,No internet service,One year,No
6643,3,239.05,No,Yes,No,Month-to-month,No
4200,65,3921.1,Yes,No,Yes,Two year,No
2672,27,562.6,No internet service,No internet service,No internet service,One year,No
6438,1,74.4,No,No,No,Month-to-month,Yes
4747,35,754.0,No internet service,No internet service,No internet service,One year,No
3493,2,87.9,No,No,No,Month-to-month,No
1459,60,5941.05,No,Yes,No,Two year,No
5074,49,921.3,No internet service,No internet service,No internet service,One year,No
6999,3,106.85,Yes,Yes,No,Month-to-month,Yes
3835,24,533.5,No internet service,No internet service,No internet service,One year,No
5445,62,5411.65,No,No,No,Two year,No
6858,25,2368.4,No,No,No,Month-to-month,Yes
5459,10,929.45,No,No,No,Month-to-month,No
2355,67,3838.2,Yes,Yes,No,Two year,No
2442,7,546.95,No,No,No,Month-to-month,Yes
5472,24,1923.85,Yes,No,Yes,Month-to-month,No
464,72,8404.9,Yes,Yes,Yes,Two year,No
163,53,3958.25,No,Yes,Yes,Two year,No
6091,2,156.35,No,No,No,Month-to-month,Yes
6302,5,413.65,No,No,No,Month-to-month,Yes
6747,52,1958.95,Yes,No,No,One year,No
6982,72,5237.4,Yes,Yes,Yes,Two year,No
2009,70,5731.85,Yes,Yes,Yes,Two year,No
3084,9,163.7,No internet service,No internet service,No internet service,One year,No
900,2,27.55,No internet service,No internet service,No internet service,Month-to-month,No
5507,28,1654.7,Yes,Yes,Yes,One year,No
2293,72,6151.9,No,Yes,Yes,Two year,No
4481,42,1626.05,Yes,No,No,Month-to-month,No
3716,11,1145.35,No,Yes,No,Month-to-month,Yes
5840,61,2961.4,Yes,No,No,One year,No
1764,63,4676.7,Yes,No,Yes,Two year,No
1549,1,45.85,No,No,No,Month-to-month,Yes
3029,23,1067.15,No,No,No,One year,Yes
5309,61,1278.8,No internet service,No internet service,No internet service,Two year,No
2044,7,128.6,No internet service,No internet service,No internet service,One year,No
767,14,275.7,No internet service,No internet service,No internet service,One year,No
1508,23,2130.55,No,Yes,No,Month-to-month,No
6843,9,865.8,Yes,Yes,No,Month-to-month,Yes
4517,11,1131.2,No,No,No,Month-to-month,Yes
4219,48,3772.65,No,Yes,No,One year,No
5849,63,1234.8,No internet service,No internet service,No internet service,Two year,No
4597,6,547.65,No,No,Yes,Month-to-month,Yes
3292,5,229.4,No,Yes,No,Month-to-month,No
819,70,5986.45,Yes,Yes,Yes,Two year,No
1403,8,546.45,No,No,No,Month-to-month,No
1382,46,1165.9,No internet service,No internet service,No internet service,One year,No
2148,6,128.6,No internet service,No internet service,No internet service,Month-to-month,No
1638,68,5746.75,No,Yes,No,Two year,No
6771,31,702.05,No internet service,No internet service,No internet service,Month-to-month,No
399,23,415.1,No internet service,No internet service,No internet service,One year,No
882,6,497.55,No,No,No,Month-to-month,Yes
3565,1,50.75,No,Yes,No,Month-to-month,Yes
6288,2,145.15,No,Yes,No,Month-to-month,No
1179,43,3953.15,No,Yes,Yes,Month-to-month,No
4244,46,856.5,No internet service,No internet service,No internet service,Two year,No
4793,49,4920.8,No,No,Yes,One year,No
2130,51,4837.6,Yes,Yes,No,One year,Yes
456,28,2768.35,No,Yes,Yes,One year,No
1950,65,5940.85,No,Yes,No,Month-to-month,Yes
689,51,4149.45,No,No,No,Month-to-month,No
5561,1,20.65,No internet service,No internet service,No internet service,Month-to-month,No
1953,1,75.35,No,Yes,No,Month-to-month,Yes
2710,24,482.8,No internet service,No internet service,No internet service,One year,No
5216,48,1604.5,No,Yes,No,One year,Yes
4349,1,80.3,Yes,No,No,Month-to-month,Yes
6109,2,101.65,No,Yes,No,Month-to-month,No
1884,27,1477.65,Yes,Yes,No,One year,No
6339,1,49.9,No,No,Yes,Month-to-month,Yes
6218,70,4113.15,No,Yes,Yes,One year,No
2494,35,2636.05,No,No,No,Month-to-month,Yes
3036,67,3321.35,Yes,No,Yes,One year,No
3603,2,81.0,No,No,No,Month-to-month,Yes
845,15,295.95,No internet service,No internet service,No internet service,One year,No
542,1,19.55,No internet service,No internet service,No internet service,Month-to-month,No
3724,62,1476.25,No internet service,No internet service,No internet service,One year,No
4187,36,717.95,No internet service,No internet service,No internet service,Two year,No
3679,1,20.1,No internet service,No internet service,No internet service,Month-to-month,Yes
5620,72,7470.1,No,Yes,No,Two year,No
6749,70,5528.9,Yes,Yes,Yes,One year,No
4823,1,53.95,Yes,No,Yes,Month-to-month,Yes
2964,24,1346.9,Yes,No,Yes,One year,No
2529,45,2791.5,Yes,No,No,One year,Yes
1048,29,572.2,No internet service,No internet service,No internet service,One year,No
1960,33,2888.7,No,Yes,Yes,Month-to-month,No
2530,7,715.0,No,No,Yes,Month-to-month,No
5174,7,526.7,No,No,No,Month-to-month,Yes
237,18,1305.95,No,No,No,Month-to-month,No
1133,2,48.35,No internet service,No internet service,No internet service,Month-to-month,No
5824,66,5234.95,No,Yes,No,Two year,No
4259,3,59.75,No internet service,No internet service,No internet service,Month-to-month,Yes
5193,72,1914.5,No internet service,No internet service,No internet service,Two year,No
5281,72,4760.3,Yes,Yes,Yes,Two year,No
6727,13,528.45,No,No,No,Month-to-month,No
2978,24,2107.15,No,Yes,Yes,Month-to-month,No
5572,70,5315.8,Yes,No,Yes,Two year,No
5406,71,6910.3,Yes,No,No,Two year,No
4743,56,3389.25,No,Yes,No,Two year,No
3919,6,536.4,No,No,No,Month-to-month,Yes
3138,1,45.3,No,No,No,Month-to-month,Yes
6279,21,926.25,No,No,No,Month-to-month,No
4073,14,937.6,Yes,Yes,No,Month-to-month,Yes
6047,13,902.25,Yes,No,No,Month-to-month,No
3229,12,1046.1,No,No,No,Month-to-month,Yes
1826,65,5931.0,No,Yes,No,Month-to-month,No
593,30,2438.6,Yes,Yes,No,Month-to-month,No
2725,2,46.4,No,No,No,Month-to-month,No
4137,12,232.4,No internet service,No internet service,No internet service,Month-to-month,No
560,56,6033.3,No,Yes,Yes,One year,No
5513,67,6140.85,Yes,Yes,Yes,Two year,No
4942,4,225.6,No,No,No,Month-to-month,Yes
243,65,6126.15,Yes,Yes,No,Month-to-month,No
4437,60,6067.4,No,No,No,Two year,No
4868,37,3762.0,No,No,No,Month-to-month,Yes
405,72,1468.75,No internet service,No internet service,No internet service,Two year,No
1442,52,5244.45,Yes,No,No,One year,No
261,13,1364.3,No,Yes,No,Month-to-month,Yes
4709,56,5219.65,Yes,Yes,No,Month-to-month,No
7017,51,1020.75,No internet service,No internet service,No internet service,Two year,No
1689,7,465.7,Yes,Yes,No,Month-to-month,No
1725,17,1608.15,No,No,No,Month-to-month,No
2496,18,388.6,No internet service,No internet service,No internet service,Two year,No
6709,50,5059.75,No,No,Yes,One year,No
340,32,1830.1,No,Yes,Yes,Month-to-month,No
4901,1,74.7,No,Yes,No,Month-to-month,Yes
1601,46,4312.5,No,Yes,No,One year,No
4576,16,313.4,No internet service,No internet service,No internet service,Month-to-month,No
3725,1,70.8,No,No,No,Month-to-month,Yes
6974,51,4947.55,No,No,No,One year,No
2785,25,2809.05,No,Yes,Yes,Two year,No
1523,8,335.4,No,No,No,Month-to-month,No
5238,33,1857.3,No,Yes,Yes,One year,No
6246,54,3512.9,Yes,Yes,No,Two year,No
6521,18,428.45,No internet service,No internet service,No internet service,Two year,No
1766,27,583.3,No internet service,No internet service,No internet service,One year,No
6947,68,6770.5,No,Yes,No,One year,No
4037,59,1534.05,No internet service,No internet service,No internet service,Two year,No
5562,56,4275.75,No,No,Yes,Month-to-month,No
5703,72,1809.35,No internet service,No internet service,No internet service,Two year,No
6581,54,3886.05,No,Yes,Yes,One year,No
363,47,945.7,No internet service,No internet service,No internet service,Two year,No
6966,50,2208.05,Yes,Yes,No,One year,No
6934,71,7365.3,No,Yes,Yes,Two year,No
4443,1,44.75,No,No,No,Month-to-month,No
5610,3,220.6,No,No,No,Month-to-month,Yes
6500,21,770.4,Yes,No,Yes,Two year,No
2562,66,3364.55,No,No,Yes,Two year,No
6680,48,4627.85,No,Yes,Yes,Two year,Yes
6453,47,4871.05,No,No,No,Month-to-month,Yes
3083,60,1506.4,No internet service,No internet service,No internet service,One year,No
6484,37,3358.65,Yes,Yes,Yes,One year,No
2102,18,1406.65,No,No,No,Month-to-month,No
632,72,6562.9,Yes,Yes,Yes,Two year,No
2493,6,512.25,No,Yes,No,Month-to-month,No
2665,33,3055.5,Yes,Yes,Yes,One year,No
5097,35,3403.4,Yes,Yes,Yes,Month-to-month,No
4406,37,2976.95,Yes,Yes,Yes,Month-to-month,No
5165,1,69.65,No,No,No,Month-to-month,Yes
4987,71,1730.65,No internet service,No internet service,No internet service,Two year,No
2334,16,1391.15,No,No,No,Month-to-month,No
6238,54,3919.15,No,No,No,Month-to-month,No
3619,72,6129.2,Yes,Yes,Yes,Two year,No
3883,12,1001.2,Yes,No,No,Month-to-month,No
5273,69,1337.5,No internet service,No internet service,No internet service,Two year,No
4211,24,2496.7,No,Yes,No,Month-to-month,Yes
1494,8,145.0,No internet service,No internet service,No internet service,One year,Yes
2401,11,601.25,No,Yes,Yes,Month-to-month,No
3874,9,405.7,No,No,No,Month-to-month,No
1232,34,2564.3,No,No,No,Month-to-month,Yes
2661,66,3177.25,Yes,Yes,Yes,Two year,No
2817,41,875.55,No internet service,No internet service,No internet service,Two year,No
6430,16,275.9,No internet service,No internet service,No internet service,Month-to-month,No
5818,65,6631.85,No,Yes,No,Two year,No
4153,27,595.05,No internet service,No internet service,No internet service,One year,No
5239,68,7322.5,No,Yes,Yes,One year,No
3061,23,2483.5,No,Yes,No,Month-to-month,Yes
6018,33,689.75,No internet service,No internet service,No internet service,Two year,No
6967,25,2196.15,No,Yes,No,Month-to-month,Yes
1735,72,8100.55,Yes,Yes,Yes,Two year,No
2823,39,790.0,No internet service,No internet service,No internet service,Two year,No
5365,62,1250.1,No internet service,No internet service,No internet service,Two year,No
4819,53,1052.35,No internet service,No internet service,No internet service,Two year,Yes
2475,53,5424.25,Yes,Yes,Yes,Two year,No
2564,18,1425.45,No,No,Yes,One year,Yes
5929,62,5618.3,Yes,Yes,No,Month-to-month,No
5441,70,4759.75,Yes,No,Yes,Two year,Yes
707,27,2964.0,No,Yes,Yes,One year,No
3046,61,6518.35,No,No,Yes,One year,No
6009,53,5485.5,No,Yes,No,Month-to-month,Yes
5371,54,5639.05,Yes,No,No,One year,Yes
72,64,7099.0,Yes,No,Yes,Two year,No
4448,30,2967.35,No,Yes,No,Month-to-month,Yes
6584,50,1070.25,No internet service,No internet service,No internet service,Two year,No
1190,38,3887.25,Yes,Yes,No,One year,No
2601,72,7129.45,No,Yes,Yes,Two year,No
1125,39,4284.8,No,Yes,No,Month-to-month,Yes
1241,30,1888.45,Yes,No,No,Month-to-month,No
6305,26,2497.2,Yes,Yes,No,Month-to-month,Yes
5809,6,514.6,No,Yes,No,Month-to-month,No
3351,16,834.15,No,Yes,Yes,Month-to-month,Yes
4008,51,2898.95,No,No,Yes,One year,No
1577,17,1704.95,No,No,Yes,One year,Yes
3906,1,78.8,No,No,No,Month-to-month,Yes
3729,62,1201.65,No internet service,No internet service,No internet service,Two year,No
4358,13,877.35,No,No,No,One year,No
1343,64,4688.65,Yes,No,No,One year,No
7024,44,3626.35,Yes,No,No,Month-to-month,No
440,16,1882.55,Yes,No,Yes,Month-to-month,No
1100,15,324.15,No internet service,No internet service,No internet service,Month-to-month,No
2637,36,1547.35,Yes,No,Yes,Two year,No
4954,1,90.85,No,No,No,Month-to-month,Yes
649,24,1732.6,No,No,No,Month-to-month,No
1546,60,1128.1,No internet service,No internet service,No internet service,Two year,No
6024,3,242.95,No,Yes,No,Month-to-month,Yes
5370,16,1442.2,No,No,No,Month-to-month,No
2852,66,5595.3,Yes,Yes,Yes,Two year,No
3503,66,6860.6,No,Yes,Yes,One year,No
5086,45,930.45,No internet service,No internet service,No internet service,One year,Yes
630,43,4687.9,No,Yes,Yes,Month-to-month,Yes
4768,71,1388.45,No internet service,No internet service,No internet service,Two year,No
1249,1,45.05,No,No,No,Month-to-month,Yes
5812,1,71.0,No,No,No,Month-to-month,Yes
482,20,1671.6,No,No,No,Month-to-month,No
1584,65,3517.9,No,Yes,No,Two year,No
4676,19,377.55,No internet service,No internet service,No internet service,Month-to-month,No
1462,36,666.75,No internet service,No internet service,No internet service,One year,No
3040,71,7690.9,No,Yes,Yes,Two year,Yes
5411,1,24.8,No,No,No,Month-to-month,Yes
3273,33,2171.15,No,No,No,Month-to-month,Yes
3683,71,3778.2,Yes,No,Yes,Two year,No
4145,13,842.25,Yes,Yes,Yes,Month-to-month,No
4953,29,554.25,No internet service,No internet service,No internet service,Two year,No
3225,13,923.85,Yes,No,No,Month-to-month,No
1072,22,1304.85,No,No,Yes,Two year,No
2631,7,665.45,No,No,No,Month-to-month,Yes
1660,47,1139.2,No internet service,No internet service,No internet service,Month-to-month,No
2425,26,511.25,No internet service,No internet service,No internet service,Month-to-month,No
5935,13,788.35,No,Yes,No,Month-to-month,No
5345,26,2335.3,No,Yes,No,Month-to-month,Yes
3097,2,42.9,No internet service,No internet service,No internet service,Month-to-month,No
3976,4,86.6,No,No,No,Month-to-month,Yes
6299,52,4233.95,No,No,Yes,Two year,No
6681,3,289.1,No,No,No,Month-to-month,Yes
4998,62,7053.35,No,Yes,Yes,One year,No
5579,70,6579.05,Yes,Yes,Yes,Two year,Yes
1408,71,7412.25,Yes,No,No,One year,No
1845,69,2492.25,No,Yes,No,One year,No
1798,35,954.9,No internet service,No internet service,No internet service,One year,No
3957,63,6296.75,No,No,No,Two year,No
1475,69,6998.95,No,Yes,Yes,Two year,No
35,72,7251.7,Yes,Yes,Yes,Two year,No
444,36,2937.65,No,No,No,Month-to-month,No
2359,33,2447.45,Yes,Yes,No,Month-to-month,No
3654,28,2433.5,No,Yes,No,Month-to-month,No
3179,27,561.15,No internet service,No internet service,No internet service,Two year,No
1286,1,74.1,No,No,Yes,One year,No
5212,72,2763.0,Yes,Yes,No,Two year,No
4445,63,6218.45,Yes,Yes,No,Two year,No
3416,12,837.5,Yes,No,No,Month-to-month,No
2137,12,313.0,No internet service,No internet service,No internet service,Two year,No
2636,70,7987.6,Yes,Yes,Yes,Two year,No
4016,1,45.35,No,No,No,Month-to-month,No
6802,20,1879.25,Yes,No,No,Month-to-month,No
1681,72,1849.2,No internet service,No internet service,No internet service,Two year,No
5119,5,399.45,No,No,Yes,Month-to-month,No
1692,39,947.75,No,No,No,One year,No
5189,1,54.3,No,Yes,No,Month-to-month,No
5606,15,864.55,No,No,Yes,One year,No
3635,72,1750.7,No internet service,No internet service,No internet service,Two year,No
372,24,830.8,Yes,No,Yes,Two year,No
5405,34,3470.8,Yes,Yes,No,One year,No
6667,9,723.4,No,No,No,Month-to-month,Yes
140,72,6425.65,Yes,Yes,Yes,Two year,No
4419,8,139.75,No internet service,No internet service,No internet service,Month-to-month,No
6556,6,105.5,No internet service,No internet service,No internet service,One year,No
5787,36,3078.1,No,No,Yes,Month-to-month,Yes
714,72,1710.9,No internet service,No internet service,No internet service,Two year,No
3188,8,365.55,Yes,No,No,Month-to-month,Yes
6214,44,845.25,No internet service,No internet service,No internet service,Two year,No
4431,18,1221.65,No,No,No,Month-to-month,No
4921,39,3767.4,No,No,Yes,Month-to-month,No
406,60,5812.0,Yes,No,No,One year,No
20,1,39.65,No,No,No,Month-to-month,Yes
1004,21,417.7,No internet service,No internet service,No internet service,Month-to-month,No
2411,60,4984.85,Yes,No,Yes,Two year,No
2545,62,4263.45,Yes,No,Yes,One year,No
2390,8,160.05,No internet service,No internet service,No internet service,One year,No
5655,65,1725.0,No internet service,No internet service,No internet service,Two year,No
42,17,418.25,No internet service,No internet service,No internet service,One year,No
2830,60,3638.25,Yes,Yes,No,Two year,No
3371,11,180.3,No internet service,No internet service,No internet service,Month-to-month,Yes
3022,2,38.15,No internet service,No internet service,No internet service,Month-to-month,No
3364,21,2254.2,Yes,No,No,Month-to-month,Yes
4399,66,6595.0,Yes,Yes,Yes,Month-to-month,No
11,16,326.8,No internet service,No internet service,No internet service,Two year,No
4760,66,5013.0,Yes,Yes,Yes,One year,No
1177,46,3593.8,Yes,No,No,Two year,No
1947,70,6385.95,No,Yes,Yes,One year,No
2501,72,1354.4,No internet service,No internet service,No internet service,Two year,No
2863,1,44.6,No,No,No,Month-to-month,No
3865,1,24.0,No internet service,No internet service,No internet service,Month-to-month,No
1026,8,819.4,No,No,No,Month-to-month,Yes
3848,2,103.7,No,Yes,No,Month-to-month,No
2989,1,19.2,No internet service,No internet service,No internet service,Month-to-month,No
961,17,365.8,No internet service,No internet service,No internet service,One year,No
2889,58,2919.85,Yes,Yes,No,One year,No
3015,59,5186.0,Yes,Yes,Yes,Two year,No
3338,12,1095.65,No,No,Yes,Month-to-month,Yes
4967,3,155.65,No,No,Yes,Month-to-month,Yes
735,32,1653.45,No,No,No,Month-to-month,No
4400,7,149.05,No,No,No,Month-to-month,No
1440,8,153.95,No internet service,No internet service,No internet service,One year,No
2875,22,1873.7,No,No,No,Month-to-month,Yes
3986,66,6424.25,Yes,Yes,Yes,Two year,No
916,23,1643.55,Yes,No,No,Month-to-month,No
5876,1,86.0,No,Yes,No,Month-to-month,Yes
5491,21,1424.4,Yes,No,No,Month-to-month,No
4089,9,706.6,No,No,No,Month-to-month,Yes
6502,44,2419.55,Yes,No,Yes,Month-to-month,No
5499,15,1156.1,No,No,No,Month-to-month,Yes
2772,67,4868.4,Yes,Yes,Yes,Two year,No
1624,56,5508.35,No,Yes,No,One year,Yes
6891,4,129.6,Yes,No,No,Month-to-month,No
821,43,3566.6,Yes,No,Yes,Two year,No
1367,61,4904.85,No,Yes,No,Month-to-month,No
3712,44,2774.55,Yes,No,Yes,One year,No
6324,9,647.5,No,No,Yes,Month-to-month,No
850,72,8476.5,Yes,Yes,Yes,Two year,No
1000,7,660.9,No,No,No,Month-to-month,Yes
5228,9,348.15,No,No,No,Month-to-month,No
4114,51,1028.75,No internet service,No internet service,No internet service,Two year,No
1637,66,1983.15,No,No,Yes,One year,No
1667,14,321.7,No internet service,No internet service,No internet service,One year,No
4589,10,220.8,No internet service,No internet service,No internet service,Two year,No
3173,17,307.0,No internet service,No internet service,No internet service,One year,No
5355,48,4445.3,Yes,No,Yes,Month-to-month,No
1347,19,373.5,No internet service,No internet service,No internet service,Two year,No
6840,1,19.3,No internet service,No internet service,No internet service,Month-to-month,No
3230,63,1245.6,No internet service,No internet service,No internet service,Two year,No
6369,67,7171.7,Yes,Yes,Yes,Two year,No
5407,63,4014.2,Yes,Yes,Yes,Two year,No
4783,71,4982.5,Yes,Yes,No,One year,No
3232,36,1939.35,Yes,Yes,No,One year,No
5760,16,1540.05,No,No,Yes,Month-to-month,No
703,2,33.6,No internet service,No internet service,No internet service,Month-to-month,No
7022,72,7544.3,No,Yes,No,One year,No
3291,24,1319.85,Yes,No,Yes,Month-to-month,No
3673,42,4273.45,No,Yes,No,Month-to-month,Yes
2408,45,892.15,No internet service,No internet service,No internet service,Two year,No
1327,59,5961.1,No,No,No,One year,Yes
6551,63,6109.75,No,Yes,No,One year,No
6338,1,20.25,No internet service,No internet service,No internet service,Month-to-month,No
4440,43,2548.55,No,Yes,No,Two year,No
6735,71,6328.7,Yes,Yes,Yes,Two year,No
986,12,540.95,No,No,No,Month-to-month,No
5590,25,477.6,No internet service,No internet service,No internet service,Month-to-month,No
6386,72,6093.3,Yes,No,Yes,Two year,No
6055,6,340.4,No,No,No,Month-to-month,No
5830,30,723.3,No internet service,No internet service,No internet service,One year,No
4049,46,4753.85,No,No,Yes,One year,No
3485,2,131.05,No,No,No,Month-to-month,Yes
2474,47,4849.1,No,Yes,No,Month-to-month,No
3873,51,1782.0,Yes,No,Yes,Two year,No
1198,42,844.45,No internet service,No internet service,No internet service,Two year,No
4181,62,6164.7,No,No,No,Month-to-month,No
1518,5,96.1,No internet service,No internet service,No internet service,Month-to-month,No
5838,53,3827.9,Yes,No,Yes,Month-to-month,No
1799,10,973.25,Yes,No,No,Month-to-month,Yes
1014,18,990.85,No,No,No,Month-to-month,Yes
128,1,19.75,No internet service,No internet service,No internet service,Month-to-month,No
1364,51,4421.95,Yes,Yes,Yes,Two year,No
5412,61,5251.75,No,Yes,Yes,One year,No
4470,7,322.5,No,No,No,Month-to-month,No
891,50,5017.9,No,Yes,No,Month-to-month,Yes
2793,4,336.15,Yes,No,No,Month-to-month,No
5912,47,3969.35,No,Yes,No,Month-to-month,Yes
4403,32,2045.55,No,Yes,No,Month-to-month,No
6703,2,85.5,No,No,No,Month-to-month,Yes
6039,27,1032.0,No,No,No,Month-to-month,Yes
3249,10,551.3,No,Yes,No,Month-to-month,No
1208,1,80.25,No,No,No,Month-to-month,Yes
3868,21,1565.7,No,Yes,No,Month-to-month,Yes
6318,12,235.8,No internet service,No internet service,No internet service,Month-to-month,No
4065,1,19.75,No internet service,No internet service,No internet service,Month-to-month,Yes
6023,51,967.9,No internet service,No internet service,No internet service,Two year,No
1239,3,168.6,No,Yes,No,Month-to-month,No
2289,72,7576.7,Yes,No,Yes,Two year,No
2740,1,44.4,No,No,No,Month-to-month,Yes
275,5,401.1,No,Yes,Yes,Month-to-month,Yes
4585,1,85.05,No,No,No,Month-to-month,Yes
1035,66,1697.7,No internet service,No internet service,No internet service,Two year,No
1229,61,4729.3,Yes,No,Yes,Two year,No
1008,32,3204.65,Yes,No,No,Month-to-month,Yes
3828,65,1319.95,No internet service,No internet service,No internet service,Two year,No
2532,41,4016.2,No,No,Yes,One year,No
4293,14,1129.1,No,No,No,Month-to-month,Yes
1058,2,185.55,No,No,No,Month-to-month,Yes
5220,29,1734.5,Yes,No,Yes,One year,No
281,10,498.25,No,Yes,No,Month-to-month,No
1043,32,2347.9,No,No,No,Month-to-month,Yes
1316,7,147.5,No internet service,No internet service,No internet service,Month-to-month,No
968,71,5550.1,Yes,Yes,Yes,Two year,No
2381,11,226.8,No internet service,No internet service,No internet service,One year,No
5617,2,44.2,No internet service,No internet service,No internet service,Month-to-month,No
1939,1,21.05,No internet service,No internet service,No internet service,Month-to-month,No
6560,23,465.45,No internet service,No internet service,No internet service,One year,No
1274,62,6638.35,Yes,No,No,Two year,No
619,7,522.95,No,Yes,No,Month-to-month,No
5113,71,8166.8,Yes,Yes,Yes,Two year,No
1742,2,183.75,No,Yes,No,Month-to-month,Yes
1390,72,4888.2,Yes,Yes,No,Two year,No
5733,71,1326.35,No internet service,No internet service,No internet service,Two year,No
1579,12,950.2,No,No,No,Month-to-month,Yes
1655,3,134.5,No,No,No,Month-to-month,Yes
3568,21,1956.4,No,Yes,Yes,Month-to-month,No
2352,8,168.9,No internet service,No internet service,No internet service,Month-to-month,No
2212,10,225.85,No internet service,No internet service,No internet service,One year,No
7001,3,130.1,No,Yes,No,Month-to-month,Yes
3178,52,4348.65,Yes,No,No,Month-to-month,Yes
3192,58,1035.5,No internet service,No internet service,No internet service,Two year,No
1307,36,2680.15,Yes,Yes,Yes,One year,No
575,61,4747.65,Yes,Yes,Yes,Two year,No
2360,62,1263.9,No internet service,No internet service,No internet service,Two year,No
1280,72,8317.95,Yes,Yes,Yes,Two year,No
6820,59,5386.5,No,No,Yes,Month-to-month,No
4957,13,251.65,No internet service,No internet service,No internet service,Month-to-month,No
5827,34,3097.0,No,No,No,Month-to-month,No
1993,1,45.7,No,No,No,Month-to-month,Yes
2639,22,1127.35,Yes,No,No,Month-to-month,Yes
269,71,1732.95,No internet service,No internet service,No internet service,Two year,No
629,49,4547.25,No,Yes,No,Month-to-month,Yes
6574,9,816.8,No,No,No,Month-to-month,No
3081,4,299.2,No,No,No,Month-to-month,Yes
3466,72,1790.8,No internet service,No internet service,No internet service,Two year,No
6146,25,2369.05,No,Yes,No,Month-to-month,Yes
4396,1,25.1,No,No,No,Month-to-month,Yes
4023,42,849.9,No internet service,No internet service,No internet service,One year,No
6669,35,3554.6,Yes,No,No,Month-to-month,No
2046,1,24.7,No,No,No,Month-to-month,No
4356,3,56.0,No internet service,No internet service,No internet service,Month-to-month,No
5528,44,2603.95,Yes,Yes,Yes,One year,No
2113,45,4368.85,No,Yes,No,One year,No
27,1,30.2,No,Yes,No,Month-to-month,Yes
2040,71,6404.0,Yes,Yes,Yes,Two year,No
3928,18,1745.5,No,No,No,Month-to-month,No
6362,2,136.05,No,No,No,Month-to-month,No
3216,1,50.45,No,No,No,Month-to-month,Yes
6557,33,3320.6,No,Yes,No,Month-to-month,No
3814,72,6301.7,Yes,Yes,Yes,Two year,No
129,71,3985.35,Yes,Yes,No,One year,No
5214,2,145.4,No,Yes,No,Month-to-month,Yes
6911,57,1087.7,No internet service,No internet service,No internet service,Two year,No
4599,52,2610.65,No,No,No,One year,No
13,49,5036.3,No,Yes,No,Month-to-month,Yes
6040,1,70.75,No,No,No,Month-to-month,Yes
4476,1,20.9,No internet service,No internet service,No internet service,Month-to-month,Yes
1525,7,158.95,No internet service,No internet service,No internet service,Month-to-month,No
2365,18,1743.9,No,No,Yes,Month-to-month,No
4648,2,144.0,No,No,No,Month-to-month,No
3052,37,2030.75,Yes,No,No,Month-to-month,No
4005,1,24.05,No internet service,No internet service,No internet service,Month-to-month,Yes
2340,48,2196.3,Yes,No,No,One year,No
374,37,3646.8,No,Yes,No,Month-to-month,No
6249,3,217.45,No,No,No,Month-to-month,No
6762,35,2010.55,No,No,No,Month-to-month,Yes
